Method,Name,Error,Occurrences
MQTT,publish:1:wearable/zone-20250617111824-579/UA10H-REAL-24114830/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111756-397/equip-20250617111756-397/UA10H-REAL-24361588/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111837-195/equip-20250617111837-195/UA10H-REAL-24542936/humidity,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111720-851/equip-20250617111720-851/UA10H-REAL-24174884/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111725-879/equip-20250617111725-879/UA10H-REAL-24293159/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111721-538/UA10H-REAL-24174656/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111759-363/equip-20250617111759-363/UA10H-REAL-24784310/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111809-124/equip-20250617111809-124/UA10H-REAL-24437146/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111841-139/equip-20250617111841-139/UA10H-REAL-24760768/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111731-277/equip-20250617111731-277/UA10H-REAL-24203959/humidity,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111719-116/equip-20250617111719-116/UA10H-REAL-24869780/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111727-201/equip-20250617111727-201/UA10H-REAL-24007680/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111826-834/equip-20250617111826-834/UA10H-REAL-24823670/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111752-725/equip-20250617111752-725/UA10H-REAL-24201745/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111753-425/UA10H-REAL-24874284/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111835-935/UA10H-REAL-24964798/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111740-985/UA10H-REAL-24207904/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111736-330/equip-20250617111736-330/UA10H-REAL-24884937/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111844-272/equip-20250617111844-272/UA10H-REAL-24257235/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111738-666/equip-20250617111738-666/UA10H-REAL-24983590/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111802-444/equip-20250617111802-444/UA10H-REAL-24604642/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111733-942/UA10H-REAL-24305394/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111757-151/equip-20250617111757-151/UA10H-REAL-24169276/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111819-338/equip-20250617111819-338/UA10H-REAL-24207149/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111730-937/equip-20250617111730-937/UA10H-REAL-24772638/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111718-609/equip-20250617111718-609/UA10H-REAL-24514354/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111838-641/equip-20250617111838-641/UA10H-REAL-24218727/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111815-404/equip-20250617111815-404/UA10H-REAL-24519956/pressure,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111737-594/equip-20250617111737-594/UA10H-REAL-24742821/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111710-630/UA10H-REAL-24228646/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111811-889/UA10H-REAL-24117080/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111742-404/equip-20250617111742-404/UA10H-REAL-24199858/humidity,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111715-544/equip-20250617111715-544/UA10H-REAL-24322889/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111801-872/UA10H-REAL-24994068/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111827-267/equip-20250617111827-267/UA10H-REAL-24069315/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111722-435/UA10H-REAL-24017121/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111834-894/equip-20250617111834-894/UA10H-REAL-24745003/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111803-463/UA10H-REAL-24168796/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111840-608/equip-20250617111840-608/UA10H-REAL-24233663/active_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111832-535/equip-20250617111832-535/UA10H-REAL-24307866/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111808-397/equip-20250617111808-397/UA10H-REAL-24505469/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111735-324/equip-20250617111735-324/UA10H-REAL-24849699/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111726-838/equip-20250617111726-838/UA10H-REAL-24464524/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111814-511/equip-20250617111814-511/UA10H-REAL-24764651/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111734-174/equip-20250617111734-174/UA10H-REAL-24193998/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111805-462/UA10H-REAL-24900945/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111845-907/UA10H-REAL-24459293/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111744-748/equip-20250617111744-748/UA10H-REAL-24747905/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111839-336/equip-20250617111839-336/UA10H-REAL-24072194/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111813-865/UA10H-REAL-24500882/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111817-970/UA10H-REAL-24613225/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111823-939/equip-20250617111823-939/UA10H-REAL-24299182/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111821-792/UA10H-REAL-24934753/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111825-574/equip-20250617111825-574/UA10H-REAL-24699360/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111806-928/UA10H-REAL-24534064/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111723-522/equip-20250617111723-522/UA10H-REAL-24756158/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111750-640/equip-20250617111750-640/UA10H-REAL-24020208/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111717-732/equip-20250617111717-732/UA10H-REAL-24069493/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111714-289/equip-20250617111714-289/UA10H-REAL-24901392/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111820-392/equip-20250617111820-392/UA10H-REAL-24902755/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111745-187/UA10H-REAL-24220613/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111755-174/equip-20250617111755-174/UA10H-REAL-24421124/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111739-647/equip-20250617111739-647/UA10H-REAL-24107833/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111843-676/equip-20250617111843-676/UA10H-REAL-24086480/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111812-232/equip-20250617111812-232/UA10H-REAL-24914439/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111822-799/UA10H-REAL-24910773/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111758-484/equip-20250617111758-484/UA10H-REAL-24498382/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111846-347/UA10H-REAL-24144723/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111829-922/equip-20250617111829-922/UA10H-REAL-24293261/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111746-238/equip-20250617111746-238/UA10H-REAL-24753894/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111711-864/UA10H-REAL-24576114/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111709-869/UA10H-REAL-24286731/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111716-212/UA10H-REAL-24105499/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111749-829/equip-20250617111749-829/UA10H-REAL-24070929/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111712-850/equip-20250617111712-850/UA10H-REAL-24998607/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111743-161/UA10H-REAL-24763433/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish,"AssertionError(""Could not find message data for mid '1' in _on_publish_cb."")",100
MQTT,publish:1:wearable/zone-20250617111747-976/UA10H-REAL-24966938/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111807-981/equip-20250617111807-981/UA10H-REAL-24012941/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111810-714/equip-20250617111810-714/UA10H-REAL-24358789/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111816-719/UA10H-REAL-24070212/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111751-925/equip-20250617111751-925/UA10H-REAL-24710719/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111729-413/equip-20250617111729-413/UA10H-REAL-24148164/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111748-405/UA10H-REAL-24424575/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111728-806/UA10H-REAL-24033494/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111732-868/UA10H-REAL-24451394/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111836-919/equip-20250617111836-919/UA10H-REAL-24558524/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111842-513/UA10H-REAL-24120880/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111713-104/UA10H-REAL-24993917/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111831-412/UA10H-REAL-24387025/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111818-471/equip-20250617111818-471/UA10H-REAL-24184034/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111804-335/equip-20250617111804-335/UA10H-REAL-24276464/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111724-371/UA10H-REAL-24495917/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111754-910/equip-20250617111754-910/UA10H-REAL-24573920/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111741-222/equip-20250617111741-222/UA10H-REAL-24833966/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111828-795/equip-20250617111828-795/UA10H-REAL-24846113/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111830-682/equip-20250617111830-682/UA10H-REAL-24913339/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111833-481/equip-20250617111833-481/UA10H-REAL-24184941/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
